Entry	Entry name	PubMed ID
P55265	DSRAD_HUMAN	7972084; 7565688; 9020165; 17974005; 16710414; 15489334; 10200312; 12618436; 12665561; 15556947; 15858013; 16120648; 16055709; 16475990; 16964243; 17924679; 17079286; 18178553; 18220336; 18669648; 18362360; 19413330; 19710021; 19605474; 19124606; 19651874; 19690332; 20192758; 19908260; 20068231; 21269460; 22022963; 21289159; 21182352; 21490091; 21406692; 21211811; 22988838; 21769729; 22278222; 22113393; 23186163; 24275569; 24129315; 25114211; 25755297; 28112733; 10364558; 10535945; 16237447; 24753571; 12916015; 15146470; 15659327; 16959974; 23001123
Q8TEA8	DTD1_HUMAN	12392168; 14702039; 11780052; 15489334; 15653697; 18088087; 18669648; 19413330; 19690332; 20065034; 20068231; 21269460; 21406692; 22814378; 23186163; 24275569; 17264083
Q5T2R2	DPS1_HUMAN	10972372; 16262699; 15164054; 15489334; 25944712; 17332895
Q8TC29	ENKUR_HUMAN	15385169; 14702039; 15164054; 15489334
Q9BV47	DUS26_HUMAN	15796912; 16924234; 17001450; 14702039; 15489334; 16581800
Q9H2F5	EPC1_HUMAN	10976108; 14702039; 15164054; 15489334; 12963728; 15196461; 14966270; 18669648; 19413330; 23186163; 28112733; 25787250
Q9HCE0	EPG5_HUMAN	16177791; 10997877; 14702039; 15489334; 20550938; 23186163; 29130391; 16959974; 23222957; 25331754; 26917586; 27343256; 28168853
O00757	F16P2_HUMAN	9678974; 15164053; 15489334; 12507293; 16213487; 17350621; 18214967; 19626708; 22120740; 24086250
Q9Y421	FA32A_HUMAN	10810093; 11230166; 15489334; 21269460; 21339736
Q49AJ0	F135B_HUMAN	16421571; 15489334; 
Q16875	F263_HUMAN	8830046; 9146922; 10072580; 10077634; 14702039; 15164054; 15489334; 10508479; 12065600; 18669648; 19690332; 20068231; 23186163; 16316985; 17499765; 22275052; 25849762
Q8IZU1	FAM9A_HUMAN	12213195; 15489334
Q9BZE7	EVG1_HUMAN	11237012; 14702039; 15461802; 10591208; 15489334
P21860	ERBB3_HUMAN	2687875; 2164210; 7685162; 14702039; 16541075; 15489334; 9516479; 11325528; 12939402; 15358134; 16832058; 17701904; 19369195; 20682778; 23186163; 24275569; 12154198; 20007378; 20351256; 21575594; 17344846; 27416908
P62508	ERR3_HUMAN	10072763; 10048485; 9676434; 10707956; 14702039; 17974005; 16710414; 15489334; 10428842; 14651967; 16371476; 19067653; 18063693; 20484414; 23836911; 11864604; 16307879; 16990259
Q5XX13	FBW10_HUMAN	15520277; 11230166; 16625196; 15489334; 20498703
O75426	FBX24_HUMAN	10531035; 11230166; 14702039; 12690205; 12853948; 15489334
