UniprotID_1,UniprotID_2,confidence
Q01780,Q96CU9,0.431
Q9Y265,Q96L91,0.999
Q9NR12,P35613,0.431
P35613,Q9NR12,0.431
Q9Y6I4,Q9H496,0.36
Q13224,A7KAX9,0.921
O60232,Q8N5R6,0.431
Q8N5R6,O60232,0.431
Q9H7Z6,Q03164,0.997
Q02246,P00533,0.28
P24390,Q9UHQ7,0.36
Q14164,O00764,0.28
Q96EB1,Q6IA86,1.0
P04637,Q05397,0.978
P58107,P41279,0.28
Q7Z2E3,P02686,0.36
Q8IZH2,P40692,0.191
Q14164,Q96AG4,0.28
Q9BRP4,Q13200,0.997
P22607,P12034,0.482
Q15050,Q9NX58,0.28
P43360,Q6NXE6,0.28
Q14194,P51114,0.431
O15479,P42766,0.28
P32926,Q9Y446,0.824
Q9Y4J8,Q13424,0.977
Q96GF1,Q9UHD9,0.191
P14373,Q9GZU1,0.431
Q9H8G2,O95251,0.431
P07199,P49450,0.636
Q96J02,P11940,0.636
Q15669,Q9BVJ6,0.431
O75489,O75306,1.0
Q6AI08,P20333,0.28
P84022,Q9BQ52,0.28
Q7Z2E3,Q5VT06,0.36
Q5VT06,Q7Z2E3,0.36
P49069,O14836,0.943
Q06787,P19338,0.854
O14818,P49721,1.0
Q5T9A4,Q96T60,0.191
Q9ULB1,O43166,0.36
P10809,P05067,0.798
Q08211,Q00403,0.719
Q92901,Q9UN86,0.684
Q9P2R6,O43439,0.36
O43439,Q9P2R6,0.36
O75400,P05388,0.36
P63261,Q7L2J0,0.191
Q15714,P46781,0.28
Q13432,Q02363,0.431
Q96EZ8,Q9Y3C0,0.744
O60784,Q96KM6,0.494
Q96KM6,O60784,0.494
Q96P09,P62837,0.431
P62993,Q7L0Q8,0.861
Q8IUQ4,Q9H422,0.844
Q9UQL6,P45973,0.644
P15172,Q02535,0.84
P40337,P61088,0.28
P05067,Q9Y6Q5,0.644
Q9Y6Q5,P05067,0.644
O00237,P61088,0.816
Q92905,Q06413,0.431
Q15645,P20333,0.28
Q92993,Q15013,0.431
Q9NX58,P62854,0.744
Q9NS91,Q9BXW9,0.591
P62280,P42766,0.984
O43639,P00533,0.832
Q09472,Q9Y6B2,0.909
Q9HAW0,Q9Y5L0,0.36
Q00987,P14625,0.28
P16333,Q9UHI7,0.28
Q12933,P24278,0.431
P54764,O94989,0.431
P06239,Q86WV1,0.676
P52435,Q9H6T3,0.191
P62851,Q99459,0.54
Q13137,Q15038,0.431
Q15038,Q13137,0.431
Q4VCS5,Q8IY63,0.893
Q96SN8,P21246,0.431
P21246,Q96SN8,0.431
Q9P035,Q9HC98,0.36
Q13283,Q9BRJ2,0.36
Q9H993,O00422,0.36
Q9Y230,O43318,0.36
Q16557,P12757,0.36
P12757,Q16557,0.36
Q15020,Q9H7B2,0.36
Q8IXK0,P49137,0.981
Q99873,Q07666,0.993
Q9P2Z0,Q9BQ66,0.431
P62258,P42574,0.6
Q14164,Q6XUX3,0.36
P18847,P05412,0.984
P12004,P12004,
Q99683,P25445,0.55
Q13490,P61077,1.0
Q99558,Q9BQG0,0.28
Q15599,Q9GZV5,0.778
Q9UL62,Q9NSC5,0.28
P22392,P53396,0.6
P53396,P22392,0.6
O75947,Q7L5D6,0.36
Q8NEM7,Q9NRR5,0.36
Q9UPT9,Q5T6C5,0.36
Q13838,Q9NRL3,0.431
Q8IUC4,Q9Y4K3,0.28
Q99683,O15524,0.744
P25788,Q9Y244,0.93
P54253,O00213,0.36
O00213,P54253,0.36
Q9H4K1,Q96BY9,0.36
P12931,A7KAX9,0.84
A7KAX9,P12931,0.84
Q14194,O60318,0.36
Q92538,P31946,0.28
Q86Y01,P46531,0.995
P61978,Q15365,1.0
Q00653,Q93008,0.636
Q03164,Q9Y5Z7,0.778
Q9P2H0,O14530,0.431
P13497,P49750,0.36
P49750,P13497,0.36
P06493,P14635,1.0
P05113,P05113,
P34932,Q9BXA6,0.28
Q86YT6,Q5VVX9,0.431
P49591,P21283,0.55
P53671,Q9H422,0.494
Q9NX47,O95140,0.874
Q15047,O14776,0.494
O14776,Q15047,0.494
Q9Y6I4,O75821,0.36
P30307,P62258,0.788
P62258,P30307,0.788
P36575,Q14749,0.431
P54274,O60522,0.191
Q96S59,P05107,0.913
P15927,Q5UIP0,0.28
Q13432,P84090,0.431
P84090,Q13432,0.431
Q96FJ2,O14576,0.802
P17812,P31946,0.28
P15531,Q9GZT8,0.55
P06493,P24385,0.985
