UniprotID_1,UniprotID_2
Q8IXL6,P23327
Q8IXL6,Q9GZV9
Q8IU85,Q09472
Q8IU85,Q14012
Q8IU85,Q13085
Q8IU85,P50750
Q15109,P49841
Q9H3Y6,P11912
Q9H3Y6,P40259
Q9H3Y6,Q9H3Y6
Q9H3Y6,Q13882
P35232,Q01094
O14976,O43166
O14976,P13637
O14976,Q9H3D4
O60479,P04049
Q9NZM5,P60484
P51956,P51956
P51956,O95721
Q9UJM3,P00533
Q16621,Q9Y618
Q96GX5,Q96GX5
Q96GX5,P56211
Q96GX5,P06493
Q96GX5,O43768
P62195,Q9Y618
P05091,O43524
Q15131,P15036
O14638,O14638
Q9NP77,P24928
Q96QF0,P61006
Q05586,Q12879
Q969U6,O43318
P37802,P37802
O14730,Q9BYX4
Q96AX2,Q96AX2
Q8TF76,P68431
P30419,Q9NPB3
P30419,P29474
Q6IE81,P31749
Q9Y2Z0,Q96P20
Q9Y2Z0,Q9Y239
Q5JQC9,Q16620
Q96HZ4,Q14469
Q86UE8,Q9NVP2
Q86UE8,P16104
Q86UE8,Q9Y294
Q9Y3S1,Q9H4A3
Q9Y3S1,Q9UEW8
Q9BRS2,P31946
Q8WZ42,Q5VST9
Q8WZ42,Q969Q1
Q8WZ42,P12814
Q8WZ42,P20807
Q8WZ42,O15273
Q8WZ42,Q8WZ42
Q15835,P34972
Q15835,P30411
Q15835,P49137
Q15835,Q15835
Q15835,P08100
Q15835,P41145
Q86Z02,Q9UER7
Q86Z02,O60829
Q86Z02,P51608
Q13614,Q13263
Q13614,P16104
P35790,P12830
P35790,P30304
P35790,Q16143
P35790,P63000
P35790,P30307
P35790,P56817
P35790,P35222
P35790,P45984
P35790,P04637
P35790,P12931
P55017,Q13621
Q02952,P61586
Q02952,Q13535
P42892,P05305
Q8N163,Q96EB6
Q8N163,Q13263
Q04656,P06730
P36955,O75385
Q04760,P29474
Q8NHZ8,Q13042
O95278,P49841
O95278,Q9UMS0
Q9NP31,Q08881
Q9NP31,P06239
P78563,P78563
Q9HAN9,P09874
P18615,P42566
Q6PHR2,Q6PHR2
O75762,Q02156
P30273,P43405
O15553,Q9ULZ3
O15553,P08670
O15553,Q00987
Q99952,P06241
Q99952,P00519
Q99952,O43586
Q99952,Q9NRY4
P11308,P46937
P11308,Q04206
Q38SD2,Q96SN8
Q38SD2,P13796
P08195,Q05397
P09917,P20292
Q8WTQ7,P08100
Q8WTQ7,Q16625
